mean,stdev,variance,skew,kurtosis,max,rms,en,label

-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-60.0000,0.0000,0.0000,0.0000,-3.0000,-60.0000,60.0000,3600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-22.0000,6.3246,40.0000,-2.6667,5.1111,-20.0000,22.8035,520.0000,ECU0
-32.5000,10.3510,107.1429,0.5164,-1.7333,-20.0000,33.9116,1150.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-24.0000,8.4327,71.1111,-1.5000,0.2500,-20.0000,25.2982,640.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-22.5000,49.4975,2450.0000,2.2678,3.1429,100.0000,51.4782,2650.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-22.2222,6.6667,44.4444,-2.4749,4.1250,-20.0000,23.0940,533.3333,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-44.4444,8.8192,77.7778,-1.3363,-0.2143,-40.0000,45.2155,2044.4444,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-37.1429,7.5593,57.1429,2.0412,2.1667,-20.0000,37.7964,1428.5714,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-38.0000,6.3246,40.0000,2.6667,5.1111,-20.0000,38.4708,1480.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-37.5000,7.0711,50.0000,2.2678,3.1429,-20.0000,38.0789,1450.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-25.0000,9.2582,85.7143,-1.1547,-0.6667,-20.0000,26.4575,700.0000,ECU0
-28.8889,33.3333,1111.1111,2.4749,4.1250,60.0000,42.6875,1822.2222,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-37.5000,7.0711,50.0000,2.2678,3.1429,-20.0000,38.0789,1450.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-37.1429,7.5593,57.1429,2.0412,2.1667,-20.0000,37.7964,1428.5714,ECU0
-42.5000,7.0711,50.0000,-2.2678,3.1429,-40.0000,43.0116,1850.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-48.5714,10.6904,114.2857,-0.2887,-1.9167,-40.0000,49.5696,2457.1429,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-42.5000,7.0711,50.0000,-2.2678,3.1429,-40.0000,43.0116,1850.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-42.0000,6.3246,40.0000,-2.6667,5.1111,-40.0000,42.4264,1800.0000,ECU0
-60.0000,0.0000,0.0000,0.0000,-3.0000,-60.0000,60.0000,3600.0000,ECU0
-37.7778,6.6667,44.4444,2.4749,4.1250,-20.0000,38.2971,1466.6667,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-22.2222,6.6667,44.4444,-2.4749,4.1250,-20.0000,23.0940,533.3333,ECU0
-42.5000,7.0711,50.0000,-2.2678,3.1429,-40.0000,43.0116,1850.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
-40.0000,0.0000,0.0000,0.0000,-3.0000,-40.0000,40.0000,1600.0000,ECU0
