mean,stdev,variance,skew,kurtosis,max,rms,en,label

20.0000,0.0000,0.0000,0.0000,-3.0000,20.0000,20.0000,400.0000,ECU0
163.3333,390.3673,152386.6667,1.7872,1.1970,960.0000,392.0034,153666.6667,ECU0
-65.7143,9.7590,95.2381,-0.9487,-1.1000,-60.0000,66.3325,4400.0000,ECU0
14.2857,9.7590,95.2381,-0.9487,-1.1000,20.0000,16.9031,285.7143,ECU0
11.4286,10.6904,114.2857,-0.2887,-1.9167,20.0000,15.1186,228.5714,ECU0
-40.0000,80.0000,6400.0000,-1.1547,-0.6667,0.0000,80.0000,6400.0000,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
14.2857,9.7590,95.2381,-0.9487,-1.1000,20.0000,16.9031,285.7143,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
5.7143,9.7590,95.2381,0.9487,-1.1000,20.0000,10.6904,114.2857,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
5.7143,9.7590,95.2381,0.9487,-1.1000,20.0000,10.6904,114.2857,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
14.2857,9.7590,95.2381,-0.9487,-1.1000,20.0000,16.9031,285.7143,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
20.0000,0.0000,0.0000,0.0000,-3.0000,20.0000,20.0000,400.0000,ECU0
-120.0000,0.0000,0.0000,0.0000,-3.0000,-120.0000,120.0000,14400.0000,ECU0
5.7143,9.7590,95.2381,0.9487,-1.1000,20.0000,10.6904,114.2857,ECU0
11.4286,10.6904,114.2857,-0.2887,-1.9167,20.0000,15.1186,228.5714,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
14.2857,9.7590,95.2381,-0.9487,-1.1000,20.0000,16.9031,285.7143,ECU0
8.5714,10.6904,114.2857,0.2887,-1.9167,20.0000,13.0931,171.4286,ECU0
17.1429,7.5593,57.1429,-2.0412,2.1667,20.0000,18.5164,342.8571,ECU0
